id,card,card_type,time,compony_id,line_id,car_id
12356968,C0366B00D8875CB2103416E72C9C392055DD5243EE7629B2140286AA5BF86F324DCBB441ED6D789D,0,2017-05-08 08:22:27.000,7,9014,50079556
12357305,7C01B9D2240D85D6019D66C65B95E21584A3F3D074E2E219443D667A8554CC673A7993425457BFDA,0,2017-05-08 08:22:32.000,7,9014,50079561
12357589,998C9A7615223D6A964BBBCD954B6A79AA44C90AB7DB1FBB47519485B9E76D5D316410142C692D08,1,2017-05-08 08:22:35.000,7,9014,50079560
12357741,2686B5933200EB8D059A6965F32AAE4FBAE2D9F9A5ECA4A8154F4B93C64B86E9CF6CC7C2F09EF88C,0,2017-05-08 08:22:37.000,7,9014,50079560
12358002,938C5BB1D6E846EF8E69ABAABBC411110180049BFEE9E0B2EF6C319D14C86BFB28069222AEEAB1B6,0,2017-05-08 08:22:40.000,7,9014,50079560
12358160,4A5123DD80E33957FFDB4865DE1EFA17DAA0700E079D611179A865952FCD32213005E3C054159037,0,2017-05-08 08:22:42.000,7,9014,50079561
12358356,0678643FA72CB78AFEF358CE387438D0EB8888615BB1EFCE0D6C19EDC3B7C05F35A3588D047A45BB,0,2017-05-08 08:22:45.000,7,9014,50079560
12358571,C56623BBF985D34FB512B709312E9AA1BFE86DE533835B546941D4AA3B4EBF07817A11B940F14C35,1,2017-05-08 08:22:48.000,7,9014,50079560
12358761,EF424D90F9ED7D6184AAFE6C61915CF0D72B85D5DE4F88580AE75A106AAD86AB3684349A8FAF662D,0,2017-05-08 08:22:50.000,7,9014,50079561
12358723,27F93198927CB3D2BFFF525FEFABFA6FBE1C5F8C7607F55A2BD0A327711C7F299C3ECB602C08365E,0,2017-05-08 08:22:50.000,7,9014,50079560
12358844,3EBBF7C457235F8CF477179974A292C5FE24C07A1421713F169696F3197D0862723FF28C21D07888,0,2017-05-08 08:22:51.000,7,9014,50079560
12358977,87D3D8E958D11FEFCD87A495C5A3E9D065E2F7626003DBA372FB86CFB577C1B5EBB2C68A8BD769B7,0,2017-05-08 08:22:53.000,7,9014,50079560
12359040,437058A2022225D60FA4F90E1CAA75B370F704EC422E034F93A6B7A57F78EB74B9ADDFB67C3E622B,0,2017-05-08 08:22:54.000,7,9014,50079560
12359689,0C94ADAE9E37B65408976FB66F76FF4D158CB2DB3045B33F5DA0DA8A60820B72520DE381CF940E65,0,2017-05-08 08:23:03.000,7,9014,50079551
12359861,D256B83ABB01133E3F1D993EA1EA213F822E1BECD3E314A7DC8E774AE21402E4A6F12C472C475F9A,1,2017-05-08 08:23:05.000,7,9014,50079551
12359932,108227B18CDF7232FE9C3CBFF9E65B87C36D3AC491A9BCCE35A76CD94BD25AC97BB5347B8FC59AF6,1,2017-05-08 08:23:06.000,7,9014,50079551
12360130,977ED6A3C3BFA7EC73909D8986DDECEB76612F6E32451BC3EA1832EDAEFD7AA512F773C87F7F1876,1,2017-05-08 08:23:09.000,7,9014,50079551
12360423,5C35C4B47E8824DF787B01D91C719B506380445D4E35B29FDD0B8FC0742184975BE90FA4818630DF,0,2017-05-08 08:23:13.000,7,9014,50079560
12360757,6197488F668B28A8A0560C92C959EFD460CB36A8966D61CDEE27BE1B6D329FF6FAB51E8B0C925122,1,2017-05-08 08:23:18.000,7,9014,50079522
12360829,359D2D13C47F85A1FE2141640B95E4C66F7D12CC02F7C22551C68541B1B586848534B5011CB243A5,0,2017-05-08 08:23:19.000,7,9014,50079730
12360857,359D2D13C47F85A1FE2141640B95E4C66F7D12CC02F7C22551C68541B1B586848534B5011CB243A5,0,2017-05-08 08:23:20.000,7,9014,50079730
12360934,A97B11E259A0461861B5BDE9382F73E6EFC3FF0AE328FD1C0EFC837E752C621CD6C1F209AAACC7EC,0,2017-05-08 08:23:21.000,7,9014,50079730
12361000,A97B11E259A0461861B5BDE9382F73E6EFC3FF0AE328FD1C0EFC837E752C621CD6C1F209AAACC7EC,0,2017-05-08 08:23:22.000,7,9014,50079730
12361113,006236DA69F4A10CA5D5C702D22FEAB05ADD7A028424D09A10DFDD1F075DC59481A589B80D820220,0,2017-05-08 08:23:23.000,7,9014,50079730
12361171,ABA6E3D347F13FE44DD19FCDB8BF1F865BA49F8A870E00130B090FB26FFB9C5B81638A5638D8C6C8,0,2017-05-08 08:23:24.000,7,9014,50079522
12361206,FADEA4DF6195263894E829E35AB929EC761CD8063B16842E1D25D4707211F9ED92AF96EE2ED29477,0,2017-05-08 08:23:24.000,7,9014,50079730
12361227,2A08A720CF7353877D2736A05E0F15AA1AC5B53D59181E57,0,2017-05-08 08:23:25.000,7,9014,50079730
12361394,6937F08B124A829B065F33AEFC40FC5A33169B8D8A44A2EF92280D357E91B6547AB075AD2A16478D,0,2017-05-08 08:23:27.000,7,9014,50079730
12362081,E6BDD7B9F8C612074EF60246D4DFCE5C999AF461D8C1FBBB6FEBB8BF6CAB339EA26D913D06494E85,0,2017-05-08 08:23:37.000,7,9014,50079560
12362163,4BE8E11BC77E16E81234E3B8C4AE12E1029FF1D0CD30DA851BE2BE03D602BBBEF18CC78DD7459CC3,0,2017-05-08 08:23:38.000,7,9014,50079555
12362358,8102BEB9505CDD2271C03016734B6FD6289721D56E6283E391CC93EF5FB7A8E54A1DB509507266B7,0,2017-05-08 08:23:41.000,7,9014,50079560
12362426,13E7B03FDD794B27F5D21EC9A9DCFCA8EC326C6CA0B4EF425448FF9A708E595821F79C28FFFB0EFD,1,2017-05-08 08:23:42.000,7,9014,50079560
12362557,C726D5F0AF9907FAE180144382B83F8DF795F1CC6C54CA25AB042CE3237BAC76B4860A25AFD85885,0,2017-05-08 08:23:44.000,7,9014,50079555
12362839,54E7319DAAB9C260D5EEFC20E5443C08AAB307DAC5B838BE084EF61F7F9B164D1DE2459DCA6607D2,0,2017-05-08 08:23:48.000,7,9014,50079555
12362976,45261BD730A65D6D7A00B5A10E482BAEF421AE0AD6AA3592EBC9C3C9BA0B6859E52CB698F0E67409,1,2017-05-08 08:23:50.000,7,9014,50079560
12363400,0D5B8D330D36928992EA3CB8B7B761F178F25CC89BA7D0F38671D5CBE95E367F32C17B0407D31CF9,0,2017-05-08 08:23:56.000,7,9014,50079556
12363565,1416FE3409830C3E9DDB7E1B5053B83C926B17E050805B28558F7537E17BBC1076E1A86EA0291C74,1,2017-05-08 08:23:59.000,7,9014,50079562
12363658,46DF41C992C2BEBC47E459493914A644C2337331F7C410F5E6F5558626A8B596D806826FA2855656,1,2017-05-08 08:24:00.000,7,9014,50079547
12363687,2B1435C5B227DB691F3853F32CAED7E6326F88A01F41DDD20AAC8D772AF69967101A495DCB885918,0,2017-05-08 08:24:01.000,7,9014,50079562
12363730,22C9CBA339EE8A47699D8DC687CDFA6D503EFE282FC81304F1DDD9B4A35D0C9C520A03D9B180EAD4,1,2017-05-08 08:24:02.000,7,9014,50079561
12363774,765D1838CBFA4D4566C0FFCED6F695B8265A7EE662C407D009FEDC7B1BF6EE7FF91D2153C352410D,0,2017-05-08 08:24:02.000,7,9014,50079562
12363908,2146F4B9C17F5B765DE9B3BDA1E006BDB4E8D9E3A7286295B1EE95824C4D021448616DE2E0D82F06,0,2017-05-08 08:24:04.000,7,9014,50079562
12364081,DFCE30590C1BF76D0E46E002CCC1E1FB18D66DC26E4F20AF0A46F89F07529D1B9663F1D22B69169C,0,2017-05-08 08:24:06.000,7,9014,50079562
12364524,C34907E6EBFB78BA1459394E022E21296F6FBC14243CECEEA122A41839BA183C9A04521962022BDE,0,2017-05-08 08:24:13.000,7,9014,50079551
12365358,488ED1E3551DA6BCB844C46F9D894C47B14520D694C103CA,0,2017-05-08 08:24:25.000,7,9014,50079652
12365437,F2A354F9686D8036D09FA332F0F76B6AA477BBEC1F1A717BC018C1FB358384E02D91B7935FB04F0C,0,2017-05-08 08:24:26.000,7,9014,50079652
12365487,C9453AAFAB7A553F29ECDE524C7EFC4CEACBF560D81E48D8C571DB0E2CD5DA7DCED2B00020C6EF78,0,2017-05-08 08:24:27.000,7,9014,50079652
12365594,4E5C4AC65D1A9419DDE4196D4CD6A1CD78483FA9195DE6BD370A47F833037FC4883746655DE0A846,0,2017-05-08 08:24:28.000,7,9014,50079560
